Publication Title,start date,end date,coverage notes,publication type
Weekly News (Seventh Series) - June 10 Numb 30 The Continuation of Our Forreigne Newes,1631-06-10,1631-06-10,"Newsbook; London, England",serial
Weekly News (Seventh Series) - Septemb 2 Numb 37 The Continuation of Our Forraine Avisoes,1631-09-02,1631-09-02,"Newsbook; London, England",serial
Weekly News (Seventh Series) - Septemb 9 Numb 38 The Continuation of Our Forraine Occurrences,1631-09-09,1631-09-09,"Newsbook; London, England",serial
Weekly News (Sixth Series) - Aug 18 Numb 40 The Continuation of the Weekely Newes,1628-07-03,1628-07-03,"Newsbook; London, England",serial
Weekly News (Tenth Series) - Numb 1 An Abstract of Some Speciall Forreigne Occurrences,1638-12-20,1638-12-20,"Newsbook; London, England",serial
Weekly News (Third Series) - April 21 Numb 18 The Continuation of Our Weekly Newes,1625-04-21,1625-04-21,"Newsbook; London, England",serial
Weekly News (Third Series) - April 27 Numb 19 The Continuation of Our Weekly Newes,1625-04-27,1625-04-27,"Newsbook; London, England",serial
Weekly News (Third Series) - April 7 Numb 16 The Continuation of Our Weekly Newes,1625-04-07,1625-04-07,"Newsbook; London, England",serial
Weekly News (Third Series) - Aprill 14 Numb 17 The Continuation of Our Weekely Newes,1625-04-14,1625-04-14,"Newsbook; London, England",serial
Weekly News (Third Series) - August 4 Numb 32 The Continuation of Our Weekly Newes,1625-06-28,1625-08-04,"Newsbook; London, England",serial
Weekly News (Third Series) - Febru 8 Numb 7 the Continuation of Our Weekely Newes,1625-02-08,1625-02-08,"Newsbook; London, England",serial
Weekly News (Third Series) - Februar 1 Numb 6 The Continuation of Our Weekly Newes,1625-02-01,1625-02-01,"Newsbook; London, England",serial
Weekly News (Third Series) - Januar 5 Numb 2 The Continuation of Our Weekly Newes,1625-01-05,1625-01-05,"Newsbook; London, England",serial
Weekly News (Third Series) - Julie 22 Numb 31 The Continuation of Our Weekely Newes,1625-06-14,1625-07-22,"Newsbook; London, England",serial
Weekly News (Third Series) - May 19 Numb 22 The Continuation of Our Weekely Newes,1625-04-12,1625-05-19,"Newsbook; London, England",serial
Weekly News (Third Series) - May 24 Numb 23 The Continuation of Our Weekly Newes,1625-05-24,1625-05-24,"Newsbook; London, England",serial
Weekly News (Third Series) - May 30 Numb 24 The Continuation of Our Weekly Newes,1625-05-30,1625-05-30,"Newsbook; London, England",serial
Weekly News (Third Series) - May 5 Numb 20 The Continuation of Our Weekly Newes,1625-05-05,1625-05-05,"Newsbook; London, England",serial
Weekly News (Twelfth Series) - Cent 3 Numb 48 The Continuation of the Forraine Occurrents,1641-01-11,1641-01-11,"Newsbook; London, England",serial
"Weekly News, 1622 - 18 of June Weekely Newes from Italy",1622-06-18,1622-06-18,"Newsbook; London, England",serial
"Weekly News, 1622 - 2 of September Two Great Battailes Very Lately Fought",1622-09-02,1622-09-02,"Newsbook; London, England",serial
"Weekly News, 1622 - 23 of May Weekely Newes from Italy",1622-05-23,1622-05-23,"Newsbook; London, England",serial
"Weekly News, 1622 - 25 of September Newes from Most Parts of Christendome",1622-09-25,1622-09-25,"Newsbook; London, England",serial
"Weekly News, 1622 - 27 of September A Relation of Letters and Other Advertisements of Newes",1622-08-31,1622-09-27,"Newsbook; London, England",serial
"Weekly News, 1622 - 4 of Octob 1622 A True Relation of the Affaires of Europe",1622-10-04,1622-10-04,"Newsbook; London, England",serial
"Weekly News, 1622 - Ninth of September 1622 Count Mansfields Proceedings since the Last Battaile",1622-09-09,1622-09-09,"Newsbook; London, England",serial
Weekly News-Letter,1695-06-29,1695-07-06,"Newspaper; London, England",serial
Weekly Oracle or Universal Library,1734-12-07,1735-02-08,"Serial; London, England",serial
Weekly Oracle or Universal Library (1737),1737-01-01,1737-01-01,"Serial; London, England",serial
Weekly Packet,1714-11-20,1721-07-22,"Newspaper; London, England",serial
Weekly Pacquet of Advice from Germany,1679-09-03,1679-12-17,"Serial; London, England",serial
Weekly Pacquet of Advice from Rome (Volumes 1 and 2),1678-12-03,1679-12-26,"Serial; London, England",serial
Weekly Pacquet of Advice from Rome Restored,1683-05-11,1683-07-13,"Serial; London, England",serial
Weekly Register (1730),1731-03-06,1733-04-07,"Newspaper; London, England; coverage includes 06/03/1731 and 07/04/1733 only",serial
Weekly Register (1798),1798-04-11,1799-12-25,"Newspaper; London, England",serial
Weekly Remarks,1691-03-25,1691-05-13,"Newspaper; London, England",serial
Weekly Remarks and Political Reflections,1716-02-04,1716-04-21,"Newspaper; London, England",serial
Weekly Review of the Affairs of France,1704-02-19,1704-03-28,"Serial; London, England",serial
Weekly Visions of the Late Popish Plot,1681-04-22,1681-06-03,"Serial; London, England",serial
Weekly Worcester Journal,1727-03-03,1727-11-17,"Newspaper; Worcester, England",serial
Welch Mercury,1643-10-21,1643-11-03,"Serial; London, England",serial
West India Monthly Packet of Intelligence,1745-11-01,1745-11-01,"Newspaper; London, England",serial
Westminster Gazette,1681-01-12,1681-01-12,"Newspaper; London, England",serial
Westminster Gazette or Constitutional Evening Post,1777-08-12,1777-08-30,"Newspaper; London, England",serial
Westminster Journal and London Political Miscellany,1764-08-18,1794-05-24,"Newspaper; London, England",serial
Westminster Journal or New Weekly Miscellany,1742-10-23,1759-12-22,"Newspaper; London, England",serial
Wheeler's Manchester Chronicle,1800-06-21,1800-08-02,"Newspaper; Manchester, England",serial
Whereas It Hath Pleased Almighty God to Call to His Mercy Our Late Sovereign Lord King George,1727-06-14,1727-06-14,"Broadside; London, England",serial
Whereas It Is Most Reasonable to Believe That the Establishing True Harmony,1746-01-08,1746-01-08,"Broadside; London, England",serial
Whipping Post,1705-10-02,1705-10-02,"Serial; London, England",serial
Whisperer,1770-02-17,1772-01-11,"Serial; London, England",serial
Whitehall Evening Post,1718-10-30,1738-06-22,"Newspaper; London, England",serial
Whitehall Evening Post (1770),1746-05-06,1769-12-26,"Newspaper; London, England; coverage from 06/05/1746-26/12/1769 and 17/07/1770-27/12/1800 only",serial
William the Third (Letters Patent : 16 June 1702),1702-12-29,1702-12-29,"Pamphlet; London, England",
Williamson's Liverpool Advertiser and Mercantile Chronicle,1778-07-10,1780-09-21,"Newspaper; Liverpool, England",serial
Word to Purpose or A Parthian Dart,1659-01-01,1659-12-31,"Pamphlet; London, England",
World (1753),1753-01-04,1756-12-30,"Newspaper; London, England",serial
World (1787),1787-01-01,1794-06-30,"Newspaper; London, England",serial
York Herald,1792-06-30,1792-06-30,"Newspaper; York, England",serial
Yorkshire Freeholder,1780-01-20,1780-03-28,"Newspaper; York, England",serial
